fetched_at_et,quote_ts,spot,expiry,type,strike,bid,ask,bid_size,ask_size,last_trade_price,iv,delta,gamma,theta,vega,rho,volume,open_interest
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,721.0,36.89,37.06,45.0,38.0,38.32,0.0,0.9975,0.0006,-0.0097,0.0013,0.0,18.0,44.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,721.0,0.0,0.01,0.0,2978.0,0.01,0.7854,-0.0025,0.0006,-0.0097,0.0013,0.0,1681.0,3028.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,722.0,35.87,36.06,45.0,37.0,37.87,0.0,0.9974,0.0006,-0.0097,0.0013,0.0,46.0,24.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,722.0,0.0,0.01,0.0,2964.0,0.01,0.7655,-0.0026,0.0006,-0.0097,0.0013,0.0,6.0,2793.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,723.0,34.87,35.06,45.0,36.0,36.88,0.0,0.9974,0.0006,-0.0097,0.0014,0.0,42.0,48.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,723.0,0.0,0.01,0.0,2976.0,0.01,0.7455,-0.0026,0.0006,-0.0098,0.0014,0.0,1138.0,584.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,724.0,33.89,34.06,1.0,22.0,34.99,0.0,0.9973,0.0007,-0.0098,0.0014,0.0,45.0,5.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,724.0,0.0,0.01,0.0,2941.0,0.01,0.7255,-0.0027,0.0007,-0.0098,0.0014,0.0,5952.0,2506.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,725.0,32.87,33.07,51.0,38.0,34.03,0.0,0.9972,0.0007,-0.0098,0.0014,0.0,38.0,9.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,725.0,0.0,0.01,0.0,2923.0,0.01,0.7055,-0.0028,0.0007,-0.0098,0.0014,0.0,1152.0,2277.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,726.0,31.87,32.07,51.0,38.0,33.05,0.0,0.9971,0.0007,-0.0099,0.0015,0.0,37.0,9.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,726.0,0.0,0.01,0.0,2904.0,0.01,0.6855,-0.0029,0.0007,-0.0099,0.0015,0.0,1801.0,155.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,727.0,30.87,31.07,45.0,38.0,32.09,0.0,0.997,0.0008,-0.0099,0.0015,0.0,30.0,11.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,727.0,0.0,0.01,0.0,2887.0,0.01,0.6654,-0.003,0.0008,-0.0099,0.0015,0.0,726.0,3623.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,728.0,29.87,30.07,45.0,38.0,30.55,0.0,0.9969,0.0008,-0.01,0.0016,0.0,21.0,21.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,728.0,0.0,0.01,0.0,2418.0,0.01,0.6454,-0.0031,0.0008,-0.01,0.0016,0.0,991.0,451.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,729.0,28.87,29.07,51.0,38.0,30.6,0.0,0.9968,0.0009,-0.01,0.0016,0.0,18.0,101.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,729.0,0.0,0.01,0.0,2460.0,0.01,0.6253,-0.0032,0.0009,-0.01,0.0016,0.0,2820.0,1256.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,730.0,27.89,28.07,1.0,25.0,29.74,0.0,0.9967,0.0009,-0.0101,0.0017,0.0,15.0,77.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,730.0,0.0,0.01,0.0,2375.0,0.01,0.6052,-0.0033,0.0009,-0.0101,0.0017,0.0,797.0,628.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,731.0,26.89,27.07,44.0,38.0,27.55,0.0,0.9966,0.001,-0.0101,0.0017,0.0,1.0,75.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,731.0,0.0,0.01,0.0,2359.0,0.01,0.5851,-0.0034,0.001,-0.0101,0.0017,0.0,2964.0,384.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,732.0,25.89,26.06,45.0,21.0,27.26,0.0,0.9965,0.0011,-0.0102,0.0018,0.0,21.0,20.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,732.0,0.0,0.01,0.0,2336.0,0.01,0.5649,-0.0035,0.0011,-0.0102,0.0018,0.0,842.0,709.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,733.0,24.9,25.07,45.0,38.0,25.64,0.0,0.9964,0.0012,-0.0103,0.0018,0.0,10.0,10.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,733.0,0.0,0.01,0.0,3205.0,0.01,0.5447,-0.0036,0.0012,-0.0103,0.0018,0.0,2568.0,2406.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,734.0,23.9,24.06,68.0,20.0,24.69,0.0,0.9962,0.0012,-0.0103,0.0019,0.0,13.0,14.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,734.0,0.01,0.02,1444.0,3670.0,0.01,0.5852,-0.0038,0.0012,-0.0104,0.0019,0.0,6117.0,1613.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,735.0,22.88,23.06,45.0,21.0,23.88,0.0,0.996,0.0013,-0.0104,0.002,0.0,2.0,24.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,735.0,0.01,0.02,2530.0,3712.0,0.02,0.563,-0.004,0.0013,-0.0104,0.002,0.0,1837.0,20770.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,736.0,21.9,22.06,65.0,1.0,23.03,0.0,0.9958,0.0014,-0.0106,0.0021,0.0,7.0,6.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,736.0,0.01,0.02,2394.0,3275.0,0.01,0.5408,-0.0042,0.0014,-0.0106,0.0021,0.0,374.0,652.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,737.0,20.9,21.06,100.0,21.0,21.67,0.0,0.9956,0.0016,-0.0107,0.0022,0.0,19.0,8.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,737.0,0.01,0.02,3092.0,3432.0,0.01,0.5185,-0.0044,0.0016,-0.0107,0.0022,0.0,389.0,21393.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,738.0,19.93,20.07,100.0,60.0,19.83,0.0,0.9954,0.0017,-0.0109,0.0023,0.0,29.0,15.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,738.0,0.01,0.02,2729.0,3260.0,0.01,0.4961,-0.0046,0.0017,-0.0109,0.0023,0.0,436.0,3159.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,739.0,18.97,19.06,100.0,21.0,19.95,0.5034,0.9951,0.0019,-0.0112,0.0024,0.0,35.0,187.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,739.0,0.01,0.02,3137.0,3138.0,0.01,0.4737,-0.0049,0.0019,-0.0112,0.0024,0.0,893.0,736.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,740.0,17.97,18.06,100.0,21.0,19.28,0.491,0.9947,0.0021,-0.0116,0.0026,0.0,54.0,38.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,740.0,0.01,0.02,3005.0,3054.0,0.01,0.4512,-0.0053,0.0021,-0.0116,0.0026,0.0,5213.0,2715.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,C,741.0,16.97,17.06,73.0,20.0,17.66,0.4669,0.9943,0.0024,-0.012,0.0028,0.0,22.0,58.0
2026-09-10 12:43:42,2026-09-10T12:28:19,757.99,2026-09-10,P,741.0,0.01,0.02,3234.0,3163.0,0.01,0.4286,-0.0057,0.0024,-0.012,0.0028,0.0,3679.0,643.0
