fetched_at_et,quote_ts,spot,expiry,type,strike,bid,ask,bid_size,ask_size,last_trade_price,iv,delta,gamma,theta,vega,rho,volume,open_interest
2026-08-26 10:26:58,2026-08-26T10:11:13,766.485,2026-08-26,C,729.0,37.44,37.52,28.0,27.0,36.75,0.6688,0.997,0.0007,-0.0125,0.002,0.0,0.0,3.0
2026-08-26 10:26:58,2026-08-26T10:11:13,766.485,2026-08-26,P,729.0,0.0,0.01,0.0,2044.0,0.04,0.6287,-0.0031,0.0007,-0.0125,0.002,0.0,0.0,43.0
2026-08-26 10:26:58,2026-08-26T10:11:13,766.485,2026-08-26,C,730.0,36.44,36.52,28.0,27.0,35.43,0.6522,0.9969,0.0007,-0.0125,0.002,0.0,0.0,2.0
2026-08-26 10:26:58,2026-08-26T10:11:13,766.485,2026-08-26,P,730.0,0.0,0.01,0.0,2056.0,0.01,0.6129,-0.0031,0.0007,-0.0126,0.002,0.0,3309.0,822.0
2026-08-26 10:26:58,2026-08-26T10:11:13,766.485,2026-08-26,C,731.0,35.44,35.52,28.0,27.0,35.55,0.6356,0.9968,0.0007,-0.0126,0.0021,0.0,0.0,2.0
2026-08-26 10:26:58,2026-08-26T10:11:13,766.485,2026-08-26,P,731.0,0.0,0.01,0.0,2017.0,0.01,0.5971,-0.0032,0.0007,-0.0126,0.0021,0.0,453.0,515.0
2026-08-26 10:26:58,2026-08-26T10:11:13,766.485,2026-08-26,C,732.0,34.44,34.52,28.0,27.0,34.55,0.6189,0.9967,0.0008,-0.0127,0.0021,0.0,0.0,6.0
2026-08-26 10:26:58,2026-08-26T10:11:13,766.485,2026-08-26,P,732.0,0.0,0.01,0.0,2002.0,0.01,0.5814,-0.0033,0.0008,-0.0127,0.0021,0.0,297.0,1290.0
2026-08-26 10:26:58,2026-08-26T10:11:13,766.485,2026-08-26,C,733.0,33.44,33.52,28.0,27.0,0.0,0.6022,0.9966,0.0008,-0.0128,0.0022,0.0,0.0,0.0
2026-08-26 10:26:58,2026-08-26T10:11:13,766.485,2026-08-26,P,733.0,0.0,0.01,0.0,2266.0,0.01,0.5656,-0.0034,0.0008,-0.0128,0.0022,0.0,7377.0,5097.0
2026-08-26 10:26:58,2026-08-26T10:11:13,766.485,2026-08-26,C,734.0,32.44,32.52,12.0,28.0,29.1,0.5856,0.9965,0.0009,-0.0129,0.0023,0.0,0.0,1.0
2026-08-26 10:26:58,2026-08-26T10:11:13,766.485,2026-08-26,P,734.0,0.0,0.01,0.0,1864.0,0.01,0.5498,-0.0035,0.0009,-0.0129,0.0023,0.0,4059.0,1187.0
2026-08-26 10:26:58,2026-08-26T10:11:13,766.485,2026-08-26,C,735.0,31.44,31.52,12.0,28.0,30.09,0.5689,0.9964,0.0009,-0.013,0.0023,0.0,0.0,16.0
2026-08-26 10:26:58,2026-08-26T10:11:13,766.485,2026-08-26,P,735.0,0.0,0.01,0.0,2271.0,0.01,0.5339,-0.0036,0.0009,-0.013,0.0023,0.0,1284.0,1056.0
2026-08-26 10:26:58,2026-08-26T10:11:13,766.485,2026-08-26,C,736.0,30.44,30.52,12.0,28.0,29.26,0.5522,0.9962,0.001,-0.0131,0.0024,0.0,0.0,3.0
