fetched_at_et,quote_ts,spot,expiry,type,strike,bid,ask,bid_size,ask_size,last_trade_price,iv,delta,gamma,theta,vega,rho,volume,open_interest
2026-09-04 12:38:16,2026-09-04T12:22:20,770.97,2026-09-04,C,733.0,37.89,38.1,57.0,62.0,37.35,1.0025,0.9969,0.0007,-0.0129,0.0016,0.0,9.0,195.0
2026-09-04 12:38:16,2026-09-04T12:22:20,770.97,2026-09-04,P,733.0,0.0,0.01,0.0,3043.0,0.01,0.782,-0.0031,0.0007,-0.0129,0.0016,0.0,3.0,2519.0
2026-09-04 12:38:16,2026-09-04T12:22:20,770.97,2026-09-04,C,734.0,36.9,37.1,55.0,63.0,35.99,0.9787,0.9968,0.0007,-0.0129,0.0016,0.0,3.0,375.0
2026-09-04 12:38:16,2026-09-04T12:22:20,770.97,2026-09-04,P,734.0,0.0,0.01,0.0,3042.0,0.02,0.7627,-0.0032,0.0007,-0.0129,0.0016,0.0,0.0,2161.0
2026-09-04 12:38:16,2026-09-04T12:22:20,770.97,2026-09-04,C,735.0,35.9,36.1,56.0,63.0,34.35,0.955,0.9967,0.0007,-0.013,0.0017,0.0,128.0,758.0
2026-09-04 12:38:16,2026-09-04T12:22:20,770.97,2026-09-04,P,735.0,0.0,0.01,0.0,3142.0,0.01,0.7433,-0.0033,0.0007,-0.013,0.0017,0.0,24.0,11777.0
2026-09-04 12:38:16,2026-09-04T12:22:20,770.97,2026-09-04,C,736.0,34.9,35.1,36.0,312.0,34.09,0.9199,0.9967,0.0008,-0.013,0.0017,0.0,1.0,312.0
2026-09-04 12:38:16,2026-09-04T12:22:20,770.97,2026-09-04,P,736.0,0.0,0.01,0.0,3040.0,0.01,0.7239,-0.0033,0.0008,-0.013,0.0017,0.0,2.0,1826.0
2026-09-04 12:38:16,2026-09-04T12:22:20,770.97,2026-09-04,C,737.0,33.9,34.1,55.0,62.0,31.84,0.9073,0.9966,0.0008,-0.013,0.0018,0.0,123.0,314.0
2026-09-04 12:38:16,2026-09-04T12:22:20,770.97,2026-09-04,P,737.0,0.0,0.01,0.0,3216.0,0.01,0.7045,-0.0034,0.0008,-0.013,0.0018,0.0,140.0,3475.0
2026-09-04 12:38:16,2026-09-04T12:22:20,770.97,2026-09-04,C,738.0,32.9,33.1,37.0,304.0,31.37,0.8834,0.9965,0.0008,-0.0131,0.0018,0.0,15.0,224.0
