fetched_at_et,quote_ts,spot,expiry,type,strike,bid,ask,bid_size,ask_size,last_trade_price,iv,delta,gamma,theta,vega,rho,volume,open_interest
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,C,729.0,37.17,38.01,41.0,36.0,0.0,0.0,0.9964,0.0008,-0.0155,0.0023,0.0,0.0,0.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,P,729.0,0.0,0.01,0.0,2375.0,0.01,0.623,-0.0036,0.0008,-0.0155,0.0023,0.0,6.0,153.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,C,730.0,36.17,37.04,41.0,160.0,0.0,0.0,0.9962,0.0008,-0.0157,0.0024,0.0,0.0,0.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,P,730.0,0.0,0.01,0.0,2306.0,0.02,0.6074,-0.0038,0.0008,-0.0157,0.0024,0.0,0.0,644.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,C,731.0,35.17,36.13,41.0,35.0,0.0,0.7321,0.9961,0.0008,-0.016,0.0025,0.0,0.0,0.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,P,731.0,0.0,0.01,0.0,2296.0,0.02,0.5918,-0.0039,0.0008,-0.016,0.0025,0.0,0.0,2780.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,C,732.0,34.21,35.19,41.0,35.0,40.11,0.7928,0.996,0.0009,-0.0162,0.0026,0.0,0.0,1.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,P,732.0,0.0,0.01,0.0,2453.0,0.01,0.5762,-0.004,0.0009,-0.0162,0.0026,0.0,1.0,218.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,C,733.0,33.3,34.28,41.0,160.0,36.69,0.8587,0.9958,0.0009,-0.0165,0.0027,0.0,0.0,2.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,P,733.0,0.0,0.01,0.0,2356.0,0.01,0.5606,-0.0042,0.0009,-0.0165,0.0027,0.0,2.0,361.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,C,734.0,32.36,33.34,36.0,36.0,0.0,0.879,0.9956,0.001,-0.0168,0.0028,0.0,0.0,0.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,P,734.0,0.0,0.01,0.0,2178.0,0.01,0.545,-0.0044,0.001,-0.0168,0.0028,0.0,3216.0,1044.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,C,735.0,31.45,32.43,35.0,36.0,32.08,0.9081,0.9955,0.0011,-0.017,0.0028,0.0,1.0,10.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,P,735.0,0.0,0.01,0.0,2033.0,0.01,0.5294,-0.0045,0.0011,-0.017,0.0028,0.0,3278.0,1545.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,C,736.0,30.47,31.49,35.0,41.0,31.14,0.9043,0.9953,0.0011,-0.0173,0.003,0.0,1.0,0.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,P,736.0,0.0,0.01,0.0,1917.0,0.02,0.5138,-0.0047,0.0011,-0.0173,0.003,0.0,539.0,1230.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,C,737.0,29.47,30.58,35.0,153.0,30.42,0.9009,0.9951,0.0012,-0.0176,0.0031,0.0,2.0,7.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,P,737.0,0.0,0.01,0.0,1932.0,0.01,0.4981,-0.0049,0.0012,-0.0176,0.0031,0.0,1320.0,271.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,C,738.0,28.48,29.64,35.0,154.0,29.48,0.8912,0.9949,0.0013,-0.0179,0.0032,0.0,2.0,2.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,P,738.0,0.01,0.02,1429.0,3711.0,0.02,0.5366,-0.0051,0.0013,-0.0179,0.0032,0.0,2723.0,2365.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,C,739.0,27.51,27.75,20.0,20.0,27.6,0.5371,0.9947,0.0014,-0.0182,0.0033,0.0,3.0,1.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,P,739.0,0.01,0.02,1552.0,3614.0,0.01,0.5195,-0.0053,0.0014,-0.0182,0.0033,0.0,603.0,3645.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,C,740.0,26.51,26.76,37.0,42.0,26.66,0.5327,0.9944,0.0015,-0.0185,0.0035,0.0,2.0,11.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,P,740.0,0.01,0.02,2706.0,3656.0,0.01,0.5023,-0.0056,0.0015,-0.0185,0.0035,0.0,1033.0,2580.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,C,741.0,25.51,25.74,37.0,43.0,26.02,0.4864,0.9942,0.0016,-0.0188,0.0036,0.0,4.0,5.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,P,741.0,0.01,0.02,2675.0,3282.0,0.02,0.4851,-0.0058,0.0016,-0.0188,0.0036,0.0,556.0,854.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,C,742.0,24.51,24.74,42.0,43.0,25.0,0.4691,0.9939,0.0017,-0.0192,0.0038,0.0,15.0,3.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,P,742.0,0.01,0.02,2701.0,2474.0,0.01,0.4678,-0.0061,0.0017,-0.0192,0.0038,0.0,400.0,3759.0
2026-08-20 10:17:57,2026-08-20T10:02:05,766.55,2026-08-20,C,743.0,23.51,23.74,20.0,20.0,23.8,0.4518,0.9936,0.0019,-0.0196,0.004,0.0,5.0,9.0
