fetched_at_et,quote_ts,spot,expiry,type,strike,bid,ask,bid_size,ask_size,last_trade_price,iv,delta,gamma,theta,vega,rho,volume,open_interest
2026-09-02 10:08:51,2026-09-02T09:53:15,762.53,2026-09-02,C,725.0,37.35,37.54,36.0,35.0,42.77,0.0,0.9968,0.0007,-0.0133,0.0021,0.0,0.0,3.0
2026-09-02 10:08:51,2026-09-02T09:53:15,762.53,2026-09-02,P,725.0,0.0,0.01,0.0,1780.0,0.01,0.617,-0.0032,0.0007,-0.0133,0.0021,0.0,2.0,1451.0
2026-09-02 10:08:51,2026-09-02T09:53:15,762.53,2026-09-02,C,726.0,36.35,36.54,36.0,35.0,37.67,0.0,0.9967,0.0007,-0.0135,0.0022,0.0,0.0,5.0
2026-09-02 10:08:51,2026-09-02T09:53:15,762.53,2026-09-02,P,726.0,0.0,0.01,0.0,1737.0,0.02,0.6016,-0.0033,0.0007,-0.0135,0.0022,0.0,0.0,2858.0
2026-09-02 10:08:51,2026-09-02T09:53:15,762.53,2026-09-02,C,727.0,35.35,35.54,36.0,35.0,38.42,0.0,0.9966,0.0008,-0.0137,0.0022,0.0,0.0,2.0
2026-09-02 10:08:51,2026-09-02T09:53:15,762.53,2026-09-02,P,727.0,0.0,0.01,0.0,1694.0,0.03,0.5861,-0.0034,0.0008,-0.0137,0.0022,0.0,0.0,5413.0
2026-09-02 10:08:51,2026-09-02T09:53:15,762.53,2026-09-02,C,728.0,34.35,34.54,36.0,35.0,37.01,0.0,0.9964,0.0008,-0.0139,0.0023,0.0,0.0,1.0
2026-09-02 10:08:51,2026-09-02T09:53:15,762.53,2026-09-02,P,728.0,0.0,0.01,0.0,1650.0,0.01,0.5706,-0.0036,0.0008,-0.0139,0.0023,0.0,50.0,8151.0
2026-09-02 10:08:51,2026-09-02T09:53:15,762.53,2026-09-02,C,729.0,33.35,33.53,50.0,34.0,36.08,0.0,0.9963,0.0009,-0.0141,0.0024,0.0,0.0,1.0
2026-09-02 10:08:51,2026-09-02T09:53:15,762.53,2026-09-02,P,729.0,0.0,0.01,0.0,4509.0,0.02,0.555,-0.0037,0.0009,-0.0141,0.0024,0.0,9827.0,13019.0
