bucket,n,vol_bp,mean_abs_bp,big_freq,p_raw,signif
09:35,302,11.9050719461338,7.957768940375188,0.17218543046357615,0.00010803817269182172,True
09:40,302,9.705111705321064,6.929218037703007,0.17549668874172186,6.924377134326824e-05,True
09:45,302,12.137812730379222,8.816458518042744,0.2152317880794702,3.562799517491096e-09,True
09:50,302,11.710920403337582,7.81341762868561,0.19205298013245034,1.7709556755959634e-06,True
09:55,302,9.750659859306536,6.748154338581724,0.11920529801324503,0.2505800702382637,False
10:00,302,12.68747678896449,8.570627029536276,0.19536423841059603,6.441782725835867e-07,True
10:05,302,10.20870622646314,6.812513587237293,0.152317880794702,0.003883447212347199,False
10:10,302,23.477262110459144,7.939718566082564,0.152317880794702,0.003883447212347199,False
10:15,302,9.559826296265971,6.4773292031374226,0.13245033112582782,0.06769567151770711,False
10:20,302,19.90466934474644,8.05358281650424,0.16225165562913907,0.000726491168820474,False
10:25,301,9.145403622995781,6.756405863387419,0.16611295681063123,0.0003475843547543617,True
10:30,301,9.434909085603966,6.179013455886449,0.11960132890365449,0.24905252432885144,False
10:35,301,10.702367194153112,6.699188802908722,0.15946843853820597,0.001394085252404237,False
10:40,301,11.252859870086182,6.465555157026527,0.1461794019933555,0.012013175554202157,False
10:45,301,8.82745698226863,5.848927816407236,0.08637873754152824,0.5009143879360496,False
10:50,301,12.669434818367591,6.8682954854228075,0.12624584717607973,0.1483831543644229,False
10:55,301,10.003287399544746,6.650991174167881,0.1461794019933555,0.012013175554202157,False
11:00,301,10.14833141109709,5.924605372470999,0.10299003322259136,0.8474969437178215,False
11:05,301,11.211585362073494,6.131742397789967,0.09302325581395349,0.7731585363544637,False
11:10,301,10.796531241849877,6.1824452119291236,0.10963455149501661,0.5640363310570816,False
11:15,301,8.060947326759226,5.315828805672597,0.09634551495016612,0.9234671009063606,False
11:20,301,9.06639697080628,5.6370246503234895,0.08970099667774087,0.6308354698315075,False
11:25,301,9.7080410385689,6.239649441934404,0.12624584717607973,0.1483831543644229,False
11:30,301,8.08726732349332,5.275426382560445,0.08305647840531562,0.3866049694095056,False
11:35,301,8.523268943420314,5.459044762594383,0.06312292358803986,0.03389164003068312,False
11:40,301,9.69776085583291,5.7805522372344305,0.10631229235880399,0.7005277267346516,False
11:45,301,8.271405395623052,5.307345220146651,0.059800664451827246,0.020507820423145313,False
11:50,301,7.383898287795603,5.2928286611024395,0.08305647840531562,0.3866049694095056,False
11:55,301,8.159860180998313,5.241715750368996,0.08970099667774087,0.6308354698315075,False
12:00,301,7.244711325877665,5.06671008881864,0.07641196013289037,0.21058173818730164,False
12:05,301,7.278978721491728,4.797147329537686,0.06976744186046512,0.08360996691466932,False
12:10,301,7.383527127271045,4.823122383059528,0.07308970099667775,0.12475060779625063,False
12:15,301,8.09838299772438,4.9707670596655005,0.059800664451827246,0.020507820423145313,False
12:20,300,6.674321362443031,4.604531354077809,0.09,0.6306714782911764,False
12:25,301,7.761967844168577,4.932980306395113,0.07641196013289037,0.21058173818730164,False
12:30,301,9.387843067615375,5.174060639210926,0.0664451827242525,0.05415226211798871,False
12:35,301,7.565730098063621,4.659235375198408,0.06312292358803986,0.03389164003068312,False
12:40,301,6.73404183675283,4.621140887770219,0.07973421926910298,0.28970190820955455,False
12:45,301,7.419417311463448,4.837611339217014,0.07641196013289037,0.21058173818730164,False
12:50,301,7.453301498496248,5.386216688727426,0.11295681063122924,0.4418882398553751,False
12:55,301,7.858077400112879,5.12184841554347,0.07973421926910298,0.28970190820955455,False
13:00,301,8.78530735029206,5.497908456652377,0.07973421926910298,0.28970190820955455,False
13:05,299,9.18355285168944,5.153392941525111,0.09698996655518395,1.0,False
13:10,300,8.809587155171117,4.790002292192271,0.06,0.02035744001843261,False
13:15,299,14.533830134318434,5.592225403547582,0.08361204013377926,0.3860798409142001,False
13:20,298,13.500068093152095,5.07175031814014,0.07046979865771812,0.09994836842077032,False
13:25,298,8.735749903412641,5.2605073050219495,0.0738255033557047,0.14712007860347676,False
13:30,299,11.40491990955415,5.421368071378978,0.07023411371237458,0.10027937199869479,False
13:35,298,9.748074422353497,5.24160659293032,0.06375838926174497,0.0336861876584577,False
13:40,299,8.358398089150526,4.986626528298155,0.06688963210702341,0.06602634910364957,False
13:45,299,8.866129736559575,5.018020714365333,0.07023411371237458,0.10027937199869479,False
13:50,298,6.769183994657996,4.640258956885233,0.07718120805369127,0.20951929152575394,False
13:55,298,8.362544721446922,5.036301251705807,0.10067114093959731,1.0,False
14:00,298,9.458922492696813,6.037248100715588,0.12416107382550336,0.17541491591941305,False
14:05,298,9.914396404247908,5.38673079749661,0.087248322147651,0.5616729353989751,False
14:10,298,6.741863484872965,4.425378780680979,0.06711409395973154,0.06566984351617405,False
14:15,298,7.917260215211896,4.824038674180185,0.07046979865771812,0.09994836842077032,False
14:20,298,8.00848767252673,4.785343761753712,0.09060402684563758,0.6988781770121162,False
14:25,298,8.693920377567503,4.898617615116674,0.08389261744966443,0.43894349009011924,False
14:30,298,7.2685487773822235,4.806669133929554,0.0738255033557047,0.14712007860347676,False
14:35,297,8.117046229633043,4.903070100688008,0.08754208754208755,0.5611696112143693,False
14:40,298,8.47978712935018,4.544050715379248,0.06375838926174497,0.0336861876584577,False
14:45,298,8.1148165921892,4.598606653029084,0.07046979865771812,0.09994836842077032,False
14:50,298,7.250102345281342,4.460054100030817,0.06375838926174497,0.0336861876584577,False
14:55,298,9.134718504607989,5.467543278114247,0.09060402684563758,0.6988781770121162,False
15:00,298,9.176394457471257,5.689151582008746,0.10067114093959731,1.0,False
15:05,298,8.518122776778073,4.6517950967626,0.06375838926174497,0.0336861876584577,False
15:10,298,7.418176731913384,4.456751613403057,0.050335570469798654,0.0013284990499880121,False
15:15,298,7.159946323267923,4.583246788612959,0.053691275167785234,0.00652643222479056,False
15:20,298,7.983991545965497,4.994953792546162,0.07718120805369127,0.20951929152575394,False
15:25,298,7.9975839704406475,4.853447654338876,0.09060402684563758,0.6988781770121162,False
15:30,298,9.792365046166847,5.240479252239104,0.08053691275167785,0.2889017364101464,False
15:35,298,9.320867573310275,5.450053538489813,0.08053691275167785,0.2889017364101464,False
15:40,298,9.063477653473226,5.265558374645195,0.06711409395973154,0.06566984351617405,False
15:45,298,8.831632936568669,5.981152846055897,0.1040268456375839,0.7723934583703713,False
15:50,298,15.078022800152448,9.125355384735565,0.21476510067114093,5.13533972203431e-09,True
15:55,298,10.560780381438528,7.738087724656164,0.17785234899328858,4.053585393159234e-05,True
